equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
744,EQ ID 744,General Maintenace Requests,General,19940,06/24/2026,6. General Maint,Electrical outlets not working for monitor.  Also other departments monitors are now not working either.,Pending,0,0,,0,,,[]
744,EQ ID 744,General Maintenace Requests,General,1045,04/01/2022,4. Prod Continuing but Affected Equipment stopped,Employee reported hose reel does not dispense air and seems kinked,Closed and Completed,178.49,1,Primo Uy,0,04/07/2022 12:00 AM,Miguel Diaz - 04/07/22  3:19:27 PM: Replaced hose reel | Miguel Diaz - 04/06/22  7:39:31 AM: New hose reel has been ordered,[]
744,EQ ID 744,General Maintenace Requests,General,1044,04/01/2022,4. Prod Continuing but Affected Equipment stopped,Employee  Deja requested we remove her keyboard tray from under her desk on April 8 Friday and not sooner,Closed and Completed,0,0.3,mike diaz,0,04/08/2022 12:00 AM,Miguel Diaz - 04/08/22 11:28:31 AM: Removed keyboard tray | Miguel Diaz - 04/08/22 11:28:18 AM: Removed keyboard tray,[]
744,EQ ID 744,General Maintenace Requests,General,1194,04/22/2022,4. Prod Continuing but Affected Equipment stopped,2 staple guns need repair. Have placed them on the table inside the maintenance department.,Closed and Completed,0,0.5,Mike diaz,0,04/25/2022 12:00 AM,Miguel Diaz - 04/25/22  7:50:31 AM: Managed to repair one of them other is not fix able we will keep it as for spare parts when needed .,[]
744,EQ ID 744,General Maintenace Requests,General,1326,05/09/2022,4. Prod Continuing but Affected Equipment stopped,Employee advised the First floor washroom left side sink is not dispensing water to rinse your hands,Closed and Completed,0,0.3,mike diaz,0,05/09/2022 12:00 AM,Miguel Diaz - 05/09/22  9:41:59 AM: Found loose signal water faucet is now working .,[]
744,EQ ID 744,General Maintenace Requests,General,1387,05/12/2022,4. Prod Continuing but Affected Equipment stopped,Ground Cable wires for line 30 cabinet tester needs new connectors. Have placed 2 wire connectors in the maintenance table.,Closed and Completed,0,0.25,PU,0,05/12/2022 12:00 AM,Primo Uy - 05/12/22 11:47:11 AM: Repaired two cables. Replace two new connectors on each Cable.,[]
744,EQ ID 744,General Maintenace Requests,General,1420,05/18/2022,4. Prod Continuing but Affected Equipment stopped,Can we please get the filter changed in the water thing by customer service/ international coffee station department? It's yellow and the water taste funny.,Closed and Completed,50,0.6,Bart Mike,0,05/18/2022 12:00 AM,Miguel Diaz - 05/18/22  9:24:36 AM: Replaced filter .,[]
744,EQ ID 744,General Maintenace Requests,General,1671,06/13/2022,4. Prod Continuing but Affected Equipment stopped,The tape on the sealers from HW are burnt and needs to be replaced .,Closed and Completed,40,0.5,mike diaz,0,06/13/2022 12:00 AM,Miguel Diaz - 06/13/22  2:45:31 PM: Replaced tape for two sealers .Operators need to press lightly for bag to seal then let go seems like they over hold it causing excessive heat .,[]
744,EQ ID 744,General Maintenace Requests,General,1777,06/24/2022,"3. Prod Affected, Not Stopped",Line 30 Table that moves cabinets handle is loose.,Closed and Completed,0,0.5,PU,0.15,06/24/2022 12:00 AM,Primo Uy - 06/24/22 10:18:29 AM: Done. Replaced the broken pieces.,[]
744,EQ ID 744,General Maintenace Requests,General,1780,06/24/2022,6. General Maint,Please help to move forward the lights in Line 30 as suggested by Vero. G. Primo was informed of this suggestion on Tuesday.,Closed and Completed,0,0.25,PU,0,06/27/2022 12:00 AM,Primo Uy - 06/27/22  8:22:47 AM: Done. Move Two over Head Light Fixture forward to allow more visibility.,[]
744,EQ ID 744,General Maintenace Requests,General,1898,07/11/2022,"3. Prod Affected, Not Stopped",Line 30 Workstation - Please help to switch the air hose to a longer cable so that the Operators can use it to reach and clean the Line 30 floor area. Please see James for details. Thank you!,Closed and Completed,60,0.4,Bart mike,0,07/12/2022 12:00 AM,Miguel Diaz - 07/12/22  7:47:24 AM: Provided two longer hoses as talked,[]
744,EQ ID 744,General Maintenace Requests,General,2111,08/05/2022,4. Prod Continuing but Affected Equipment stopped,Employee requested to remove a picture frame and put up 2 new ones .,Closed and Completed,0,0.4,Mike d,0,08/05/2022 12:00 AM,Miguel Diaz - 08/05/22  9:25:28 AM: Done,[]
744,EQ ID 744,General Maintenace Requests,General,2150,08/10/2022,"3. Prod Affected, Not Stopped",Tester plug for line 30 needs repair. I have placed it on the maintenance table.,Closed and Completed,0,0.25,PU,0,08/10/2022 12:00 AM,Primo Uy - 08/10/22  1:52:06 PM: Replace two broken probe. Return to SD for ready to use.,[]
744,EQ ID 744,General Maintenace Requests,General,2167,08/15/2022,1. Prod Stopped,Glue tube cutting machine is not working blade does not move when turned on. I have placed tube cutting machine in maintenance department.,Closed and Completed,0,0.25,PU,0,08/15/2022 12:00 AM,Primo Uy - 08/15/22  7:37:51 AM: Open up 4112 Tube Cutter Fixture and clean with vacuum /Air to remove dust powder from cut plastic tubing. Add lubrication on all guide rod and to the cylinder as well. Fixture is now working.,[]
744,EQ ID 744,General Maintenace Requests,General,2177,08/16/2022,4. Prod Continuing but Affected Equipment stopped,"May I please have assistance tightening the resistance on my standing desk? Additionally, can my monitors please be raised slightly? No rush. I will be in the office today and tomorrow this week. Thank you.",Closed and Completed,0,0.2,PU & MD,0,08/16/2022 12:00 AM,Primo Uy - 08/16/22  9:06:41 AM: Done. Made the adjustment. MD show me HOW.,[]
744,EQ ID 744,General Maintenace Requests,General,2230,08/24/2022,"3. Prod Affected, Not Stopped",left arm rest cracked on my chair,Closed and Completed,0,0.35,PU,0,08/24/2022 12:00 AM,"Primo Uy - 08/24/22 10:38:56 AM: Replaced new arm rest, lift side.",[]
744,EQ ID 744,General Maintenace Requests,General,2250,08/26/2022,4. Prod Continuing but Affected Equipment stopped,"The old brown tape machine at Line 4 is jammed, please help to take a look. Thank you.",Closed and Completed,0,0.2,PU,0,08/26/2022 12:00 AM,Primo Uy - 08/26/22  7:18:47 AM: Check the machine and found a small piece of tape stuck on the outfeed guide causing it to jam. Clean and remove piece of tape and run the tape. Its working now.,[]
744,EQ ID 744,General Maintenace Requests,General,2485,10/03/2022,"3. Prod Affected, Not Stopped","Tape machine at Cell 1 is missing the water reservoir, which does not allow the dispensed brown tape stick to the boxes.",Closed and Completed,0,0.2,PU,0,10/04/2022 12:00 AM,Primo Uy - 10/04/22  7:41:58 AM: Found the water reservoir and give it to James. Done.,[]
