eq_id,dept,dept_num,equipment_name,asset_num,make,model,vendor,wo_qty,modified
EQ ID 5393,Maintenance,29,Foam Soap Dispensers (at sinks),,Bobrick Washroom Equipment,B-828 Foam Dispenser,Bobrick,1,6/17/2026 12:13 PM
EQ ID 5390,Maintenance,29,Office Chairs,,Humanscale,N/A,,2,5/15/2026 7:37 AM
EQ ID 36,Maintenance,29,Air compressor 75 HP,10784,Gardner Denver,EBM99K,Bobrick,0,3/12/2026 12:11 PM
EQ ID 5380,Maintenance,29,UPS,,Myers,6-E-9-S-BD2012-Z,Bobrick,1,3/12/2026 8:40 AM
EQ ID 5377,Maintenance,29,40HP Oil-injected Screw Air Compressor,,Atlas Copco,GA30VSDs FF,Bobrick Washrom Equipment,3,2/3/2026 8:34 AM
EQ ID 5351,Toilet Partitions,40,VLM Storage Lift -Small Hardware,3186,Kardex Shuttle,Shuttle -XP-500-360X864-US,Bobrick Washrom Equipment,2,6/23/2025 4:59 PM
EQ ID 1211,Shipping,32,Shrink Wrap Machine with Integrated Scale,11433,Lantech,Q-300,Bobrick,2,3/17/2025 1:08 PM
EQ ID 2139,Soap Dispenser Assembly,21,Margarita Machine,,In-house,Margarita 1,Bobrick Washrom Equipment,1,3/12/2025 8:31 AM
EQ ID 135,Toilet Partitions,40,"Saw,Horizontal, Holz-Her",11275,Holz Her,Cut 85 - 6210,Holz Her,5,11/27/2024 7:47 AM
EQ ID 5354,Toilet Partitions,40,TPT CL 1005 TENO,,Bobrick Equipment,TPT-CL-1005,McMaster-Carr,0,11/7/2024 7:50 AM
EQ ID 5352,Toilet Partitions,40,TPT CL 1005 ANDY,,Bobrick Equipment,TPT-CL-1005,McMaster-Carr,1,10/18/2024 3:49 PM
EQ ID 5341,Toilet Partitions,40,General Maintenance,,,,Bobrick,0,7/19/2024 7:00 AM
EQ ID 1879,Toilet Partitions,40,Gannomat Index 330 Trend/PRO (Solid),11617,Ganner,Index 330 Trend/PRO,Advantage Automation,3,7/18/2024 9:21 AM
EQ ID 5338,Shipping,32,Stacker #24,,Raymond,730-R35TT,Bobrick,0,7/8/2024 9:01 AM
